idx,family,dur_s
468,qwen2.5-1.5b,3300
469,qwen2.5-1.5b,3122
470,qwen2.5-1.5b,3211
471,qwen2.5-1.5b,3233
472,qwen2.5-1.5b,3190
473,qwen2.5-1.5b,3170
474,llama3.2-1b,1843
475,llama3.2-1b,1811
476,llama3.2-1b,1837
477,llama3.2-1b,1921
478,llama3.2-1b,1900
479,llama3.2-1b,1831
