family_short,task,run_index,dev_mean,dev_max,dev_step0_mean,dev_step0_max,final_gap,gap_auc,update_mag_mean,update_mag_max
qwen2.5-1.5b,alpaca,0,0.03836157404816213,0.08148392026180407,0.0,0.0,-0.003798753716051595,-74.32563171647487,0.29073313837723547,0.9365835303477638
qwen2.5-1.5b,code,1,0.038617320771471876,0.09622292797731463,0.0,0.0,0.002682068046182401,-58.44121120050549,0.2677191028011364,0.7965661456529868
qwen2.5-1.5b,math,2,0.06408920324171434,0.15327484697332075,0.0,0.0,0.01141893716342747,-47.09965482847766,0.3817815445968681,1.361304248535589
qwen2.5-1.5b,xsum,3,0.04825908784361425,0.21279736622089437,0.0,0.0,0.0002503591179847664,-34.782733547687506,0.3231911990993292,1.7769593373346657
qwen2.5-1.5b,squad,4,0.04530436205973772,0.11200767722566451,0.0,0.0,-0.014762318596243884,-71.18714610859747,0.34303434866799026,0.7487956861946012
qwen2.5-1.5b,agnews,5,0.0469623755098234,0.15157388642479436,0.0,0.0,0.00693649743497371,-70.49115511067214,0.3132581590240172,1.0950826370816436
llama3.2-1b,alpaca,6,0.055020634809624894,0.3040017657011135,0.0,0.0,-0.002352023184299501,-76.98883351683615,0.6144878149523842,3.9626435784148417
llama3.2-1b,code,7,0.06041258475044479,0.2655265575333516,0.0,0.0,0.0016956755071878549,-87.45928803756831,0.6540428509264768,4.0029699127205545
llama3.2-1b,math,8,0.11875012701176924,0.3427487229433755,0.0,0.0,0.027143427759408922,-28.189843473210907,0.8807597942166425,4.093965456229402
llama3.2-1b,xsum,9,0.09427362236875717,0.28457666114012037,0.0,0.0,-0.015892299354076433,-50.495857779681664,0.7774088936777811,2.0109161313452097
llama3.2-1b,squad,10,0.0950663604226323,0.44137711783146916,0.0,0.0,-0.016792063578963345,-69.08942096605895,0.7311295674554388,4.237690641803359
llama3.2-1b,agnews,11,0.07343132767963001,0.32445749855317696,0.0,0.0,0.007365399904549097,-86.91010793112216,0.7507278380864895,4.380138471522556
qwen2.5-1.5b,alpaca,12,0.03850948194313689,0.08675860196984606,0.0,0.0,-0.0002855827733874161,-74.5344916297123,0.2860603785018618,0.7318779949187811
qwen2.5-1.5b,code,13,0.03698889459948369,0.08331437040744423,0.0,0.0,-0.00017113858461381692,-59.52275433000176,0.2646983168301336,0.8190660588316695
qwen2.5-1.5b,math,14,0.06246993746059123,0.14456229729637685,0.0,0.0,0.008723996067419651,-48.36777534680442,0.37895908675617207,1.2742189215399515
qwen2.5-1.5b,xsum,15,0.04527074380751937,0.14261965783387195,0.0,0.0,0.004339438319206357,-25.299368558824007,0.33062138104203836,1.1817631851131047
qwen2.5-1.5b,squad,16,0.04482391082531724,0.09930522687642489,0.0,0.0,-0.014560641571879418,-72.99772210344669,0.3400959864759849,0.7362504158522035
qwen2.5-1.5b,agnews,17,0.04757957443148756,0.1516833395549461,0.0,0.0,0.00440991867333651,-71.58520250022411,0.31168510720824455,1.0454447050123366
llama3.2-1b,alpaca,18,0.05636220828384181,0.2786472900006546,0.0,0.0,0.0016693958230316608,-78.38438637554647,0.6165911053937654,3.7890793679730335
llama3.2-1b,code,19,0.06105910994870267,0.2719797263277456,0.0,0.0,0.007535962197929624,-87.66225087922066,0.6614377653921182,3.9852934271828215
llama3.2-1b,math,20,0.117870554491631,0.3324521288738983,0.0,0.0,0.02795708307623862,-28.682413791865116,0.8693217676660066,4.017173572302138
llama3.2-1b,xsum,21,0.0925428473731249,0.2739930016498133,0.0,0.0,0.005642943710088666,-56.6513505220413,0.7766138137124405,1.912593802619269
llama3.2-1b,squad,22,0.09451093206379238,0.399752395211735,0.0,0.0,-0.011673654913902265,-69.9280078560114,0.7279101689384608,4.004039169577225
llama3.2-1b,agnews,23,0.07642509215768836,0.3465361187076882,0.0,0.0,0.00781598505377773,-87.69269609488549,0.7582205018183423,4.402108633215174
qwen2.5-1.5b,alpaca,24,0.03833475584087176,0.08987123892122928,0.0,0.0,0.00030157512798906216,-69.60117661114782,0.2880815751238149,0.7123368953101645
qwen2.5-1.5b,code,25,0.03780473287895373,0.09448052819308679,0.0,0.0,0.0034223249815404228,-56.74715731069445,0.2700922405401974,0.8280766988451629
qwen2.5-1.5b,math,26,0.06315406364244124,0.1563962983939741,0.0,0.0,0.010242042073979982,-48.48869722196834,0.3801702941966371,1.3078728812271831
qwen2.5-1.5b,xsum,27,0.047778305958302555,0.2729402417920098,0.0,0.0,0.0006041592955587927,-32.75011516809463,0.32246696401409514,2.026603865296768
qwen2.5-1.5b,squad,28,0.044497961878469154,0.09940942130165886,0.0,0.0,-0.007518755882978456,-70.79885972216726,0.34252823887248596,0.7304514095095851
qwen2.5-1.5b,agnews,29,0.04790537292445005,0.15833645890303288,0.0,0.0,0.0060245689600705865,-69.58300083205104,0.3166694176080519,1.0833147871444793
llama3.2-1b,alpaca,30,0.05369801102746888,0.27858477551132876,0.0,0.0,-0.008986138857901116,-75.70890676043928,0.6145167179995727,4.016513381983156
llama3.2-1b,code,31,0.059621414060595485,0.26517165592337155,0.0,0.0,0.005255010325461634,-85.27114423848685,0.6611352849256353,3.9540593963422235
llama3.2-1b,math,32,0.11351107634132115,0.2868738793609219,0.0,0.0,0.02253075322508813,-30.474639821425082,0.8501215359015555,3.9731227743948025
llama3.2-1b,xsum,33,0.09198314074452357,0.29527027481395945,0.0,0.0,-0.0034349170327185874,-56.58414184749122,0.7694185997333854,2.0228018408888233
llama3.2-1b,squad,34,0.09613863714547952,0.43089551727016323,0.0,0.0,-0.018004218757152524,-67.56923248469828,0.7294639069890154,4.293168157237751
llama3.2-1b,agnews,35,0.07675353538301202,0.35221467501195525,0.0,0.0,0.005275344185531161,-86.81274706572295,0.7570550996070046,4.4012604104114805
qwen2.5-1.5b,alpaca,36,0.038038891514189446,0.09715872446775352,0.0,0.0,-7.030959427356542e-05,-71.23456455729901,0.28996062617783724,0.8526414174025491
qwen2.5-1.5b,code,37,0.037967785737014294,0.08407983468733193,0.0,0.0,-0.0021162618584930903,-59.70725137498233,0.26415730465099146,0.838623677351595
qwen2.5-1.5b,math,38,0.06434391584301499,0.1856241520923978,0.0,0.0,0.010333361210301512,-46.99434201130644,0.38320586423772773,1.4991730632513711
qwen2.5-1.5b,xsum,39,0.048323262228497886,0.25033265144347994,0.0,0.0,-0.00507958006858833,-29.331500369310415,0.3259913168002984,1.9963323312048853
qwen2.5-1.5b,squad,40,0.04566068321185495,0.0982135385230099,0.0,0.0,-0.0015742273330688894,-72.86215086728335,0.3434269398653235,0.7323709542494501
qwen2.5-1.5b,agnews,41,0.049802594625815044,0.14968801824984587,0.0,0.0,0.007110163547098647,-71.19674247056246,0.31415507590983965,1.063530957675347
llama3.2-1b,alpaca,42,0.05498324937349468,0.2680800766868745,0.0,0.0,0.0043924161121249305,-79.80947307795286,0.6172361625262226,3.755044723310609
llama3.2-1b,code,43,0.05866510245516293,0.22955823164101924,0.0,0.0,0.0016660705246031027,-87.95722357705235,0.6449468795656157,3.853236915541006
llama3.2-1b,math,44,0.11403210258264751,0.33208406252461614,0.0,0.0,0.02473034276068209,-31.222071229666486,0.8524221873295754,4.185939526259807
llama3.2-1b,xsum,45,0.09399767815428564,0.26506084806697955,0.0,0.0,-0.009577598035335644,-48.753170262277166,0.7792660059821876,1.8580475843534707
llama3.2-1b,squad,46,0.09478290801308875,0.43921459006948105,0.0,0.0,-0.0002829973846674161,-68.79945382550356,0.7254888559560511,4.157435117598964
llama3.2-1b,agnews,47,0.07223257436576475,0.2908128434375336,0.0,0.0,0.009840333200991147,-88.68846535123888,0.7441013904474632,4.367537276717752
qwen2.5-1.5b,alpaca,48,0.03803851274232368,0.08857047132250094,0.0,0.0,-0.00905661436542865,-67.56489135343581,0.2840412488349188,0.8286811835202146
qwen2.5-1.5b,code,49,0.038953641611590484,0.09173074213225023,0.0,0.0,0.003627263452857729,-57.58981101308018,0.26824608942329015,0.8560298964988813
qwen2.5-1.5b,math,50,0.0650784224684804,0.1505653625393915,0.0,0.0,0.009137022271752365,-48.05549811981621,0.3821961921590408,1.3674820974027044
qwen2.5-1.5b,xsum,51,0.04846717177988686,0.23826443828405916,0.0,0.0,-0.044288720130920556,-32.007352921366675,0.3252945964004081,1.9271678142601392
qwen2.5-1.5b,squad,52,0.0459804549108223,0.1002791280454876,0.0,0.0,0.0031708384305239035,-73.13500800803305,0.34690971534466636,0.7594078600700049
qwen2.5-1.5b,agnews,53,0.04799375132828813,0.14986126504112401,0.0,0.0,0.006061025671660891,-71.83849341981114,0.3148391018057648,1.092806341090026
llama3.2-1b,alpaca,54,0.05404896923213594,0.2774728262504742,0.0,0.0,-0.013594898529350752,-76.69501224234699,0.6196508320220707,3.9839224673578855
llama3.2-1b,code,55,0.05958043107971824,0.18908706778625467,0.0,0.0,0.0019229527600109486,-86.45099433604626,0.6555749979263131,3.390843978522038
llama3.2-1b,math,56,0.11403389181851406,0.3468886954308608,0.0,0.0,0.02759667073190214,-29.42802102342248,0.8516842016789183,4.086476680105984
llama3.2-1b,xsum,57,0.0949184605835755,0.27111986401922944,0.0,0.0,-0.004645958513021409,-48.67787053883081,0.7734674614925395,1.9412028976877052
llama3.2-1b,squad,58,0.09425469046359086,0.433167748159397,0.0,0.0,-0.007198789268732075,-70.90458118617532,0.72159906673092,4.2398364994313535
llama3.2-1b,agnews,59,0.07436454704372729,0.3253488641780886,0.0,0.0,0.00560360312461855,-86.54768724888562,0.7510564995374426,4.117699806863839
qwen2.5-1.5b,alpaca,60,0.038038261533241656,0.09134416226267696,0.0,0.0,-0.015848848491907097,-69.31492665335537,0.28492069112913637,0.7141761085439952
qwen2.5-1.5b,code,61,0.03719636537910632,0.07674962426737678,0.0,0.0,0.004625185349956165,-60.00230244761332,0.2667969574119354,0.782712829953127
qwen2.5-1.5b,math,62,0.06314818510517832,0.17056372697535296,0.0,0.0,0.009415912022814152,-47.88499984061346,0.3765319391875749,1.23313321920023
qwen2.5-1.5b,xsum,63,0.04742155766636742,0.20189451806635716,0.0,0.0,-0.01661901473999028,-30.403512902557893,0.324388735056163,1.8047279874985098
qwen2.5-1.5b,squad,64,0.04605793495629112,0.10650861386513964,0.0,0.0,-0.016845247536897645,-71.18735917732118,0.34054669459248293,0.7528582348265707
qwen2.5-1.5b,agnews,65,0.04700419173482775,0.12837038940286316,0.0,0.0,0.007386074908077744,-71.74339032284914,0.31700027011398396,1.0637467894558645
llama3.2-1b,alpaca,66,0.056260513387342954,0.29862648877666725,0.0,0.0,-0.011477819882333262,-75.23634012825788,0.6204365335339088,3.94476381837108
llama3.2-1b,code,67,0.058849469575612115,0.2250064006601513,0.0,0.0,0.0046615152209997235,-89.57056609224529,0.6566406597561264,3.7338399960376347
llama3.2-1b,math,68,0.117047803054247,0.31187077871850766,0.0,0.0,0.02463328793644909,-30.634045439213512,0.858605143081109,4.101489259400198
llama3.2-1b,xsum,69,0.09474237075992378,0.3139625500983291,0.0,0.0,0.003313841849565513,-49.243519882857726,0.7836312668264388,2.15920377303873
llama3.2-1b,squad,70,0.09249810639511957,0.45227587523435614,0.0,0.0,-0.009042057141661619,-72.9355300404131,0.7163810621413579,4.239821247233681
llama3.2-1b,agnews,71,0.07413483516053401,0.3231929396435796,0.0,0.0,0.007427651003003133,-87.64825949557124,0.7546827830305275,4.30468271511978
qwen2.5-1.5b,alpaca,72,0.03840365535867451,0.09319447804140851,0.0,0.0,-0.008010784056037668,-69.99864750094709,0.2844112058114146,0.7139244232825176
qwen2.5-1.5b,code,73,0.038749444301419134,0.1089436462077195,0.0,0.0,0.0031928636506199787,-58.65520167239009,0.26913711763861586,0.7658800439233193
qwen2.5-1.5b,math,74,0.06298959703220278,0.17836781335964344,0.0,0.0,0.0088652961011976,-49.15481809908523,0.375566782738651,1.3955673442541077
qwen2.5-1.5b,xsum,75,0.048462469544509036,0.19837819769498308,0.0,0.0,-0.012863851904869161,-28.276771093905012,0.32741634220070914,1.8232592167944748
qwen2.5-1.5b,squad,76,0.046144342112706745,0.1017583449485513,0.0,0.0,-0.009494402855634632,-73.58411612734197,0.34150521220122004,0.7109235400237226
qwen2.5-1.5b,agnews,77,0.046325499518439735,0.13346551216676555,0.0,0.0,0.003498398609459441,-71.37092350795865,0.31066499118404495,0.96871025748635
llama3.2-1b,alpaca,78,0.05482187197901319,0.28574012434618706,0.0,0.0,0.012800485726445932,-78.30997082199904,0.6134432592135698,3.8439239953218105
llama3.2-1b,code,79,0.059702640765265075,0.2506884767235327,0.0,0.0,0.007398516813293093,-86.70742285912857,0.6545857180587831,3.9012063314598184
llama3.2-1b,math,80,0.11500592946139601,0.31784190962967257,0.0,0.0,0.024288117535412324,-30.565192227065555,0.8640575460526525,4.08876534803938
llama3.2-1b,xsum,81,0.09208921223863353,0.25281739152786026,0.0,0.0,0.009567196130752631,-47.429825690388675,0.7732957914446106,1.853871853237778
llama3.2-1b,squad,82,0.09457610258981627,0.42690717048020227,0.0,0.0,-0.012257604300975777,-70.33472032845023,0.7277362354131357,4.093128716677322
llama3.2-1b,agnews,83,0.07437628779324865,0.3021106142374898,0.0,0.0,0.006445774450898167,-88.05876648910343,0.7558535203817999,4.1399991424447435
qwen2.5-1.5b,alpaca,84,0.03835415588982135,0.07954279828188147,0.0,0.0,-0.003924856897443485,-71.7302737666294,0.2818270469110905,0.7557601340966643
qwen2.5-1.5b,code,85,0.038630604399900056,0.12518148904573237,0.0,0.0,0.004106010802090165,-57.46974772121758,0.2686138664396371,0.8136634595788435
qwen2.5-1.5b,math,86,0.06247535487159523,0.18619542418836482,0.0,0.0,0.009128618294373156,-46.493153660837564,0.3771322660503934,1.4330797260008756
qwen2.5-1.5b,xsum,87,0.0484612591287228,0.18625992640809025,0.0,0.0,-0.0029232997298240804,-35.61873659193518,0.323551160961489,1.8415738262022823
qwen2.5-1.5b,squad,88,0.045609912553394624,0.0917543218452947,0.0,0.0,0.0034563295692205953,-72.76249747127294,0.34185092609816525,0.8510030527272807
qwen2.5-1.5b,agnews,89,0.04761646696930661,0.15679839343945481,0.0,0.0,0.007358308196067809,-70.7569567143917,0.31525554013025936,1.1402750432954525
llama3.2-1b,alpaca,90,0.05449245477949921,0.2734498640448974,0.0,0.0,-0.014968364443629978,-74.68801891338079,0.6177166403558407,3.799302645046894
llama3.2-1b,code,91,0.06103484136686575,0.226176020435499,0.0,0.0,0.0037280913740396493,-88.53594656214119,0.6658674506162151,3.5967129003104628
llama3.2-1b,math,92,0.11434129520564107,0.33032347212965824,0.0,0.0,0.02620630799978968,-30.604493800923226,0.865165388110654,4.082835823738006
llama3.2-1b,xsum,93,0.09207984594630729,0.2461870905824513,0.0,0.0,0.02438772970438019,-52.17691249549387,0.7682926572493054,1.752300094275
